description,carb,fat,energy,protein,country,amount_type,queries
"['Sports drink (Gatorade G)', 'Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on white bread']","[23.92, 54.91]","[0, 13.04]","[96.72, 381.92]","[0, 13.98]",USA,metric,I have a 372g Gatorade and a 112g peanut butter and jelly sandwich with reduced fat peanut butter for lunch.
"['Cereal bar with fruit filling, baby food']",[13.04],[1.01],[65.36],[1.03],USA,metric,"For my snack, I’m eating a 19g baby food cereal bar that has fruit filling."
"['Chicken with noodles and cheese sauce, diet frozen meal']",[30.55],[7.49],[298.68],[26.38],USA,metric,"For lunch, I’ve got a meal of chicken with noodles and cheese sauce, and it weighs 262 grams."
"['Potato, scalloped, from fresh', 'Milk, fat free (skim)']","[33.75, 11.93]","[23.92, 0.2]","[417.5, 82.96]","[17.8, 8.37]",USA,metric,"For breakfast, I enjoyed some scalloped potatoes, weighing 250 grams, with 244 grams of skim milk."
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton', 'Coffee, brewed']","[27.95, 0]","[0.3, 0.1]","[116.56, 4.8]","[1.69, 0.58]",USA,metric,"I’m having a nice breakfast with 248 grams of orange juice that has calcium added, plus 480 grams of brewed coffee."
"['Cocktail, NFS', 'Milk, reduced fat (2%)']","[2.34, 1.5]","[0.06, 0.58]","[26.7, 15.25]","[0, 1.02]",USA,metric,"For a snack, I'm having 30 grams of NFS cocktail and about 30.5 grams of reduced fat (2%) milk."
"['Nutritional drink or shake, ready-to-drink, light (Muscle Milk)']",[5.38],[2.94],[97.28],[12.24],USA,metric,"For breakfast, I drank a 256-gram light Muscle Milk nutritional drink."
"['Coffee, Cappuccino', 'SNICKERS Bar']","[6.62, 35.06]","[2.38, 13.59]","[64.8, 279.87]","[4.1, 4.29]",USA,metric,"For a snack, I'm having a cappuccino that weighs 240 grams and a 57-gram SNICKERS bar."
"['Egg, whole, fried with oil', 'Grits, instant, made with water, fat added']","[0.37, 21.25]","[8.46, 4.19]","[105.05, 124.32]","[6.44, 2.01]",USA,metric,I’m enjoying 55 grams of a fried egg with oil alongside 148 grams of instant grits for breakfast.
"[""Cereal (Kellogg's Frosted Flakes)""]",[36.57],[0.69],[151.29],[1.62],USA,metric,I'm snacking on 41 grams of Kellogg's Frosted Flakes right now.
"['Burrito with meat, beans, rice, and sour cream', 'Soft drink, cola, diet']","[87.61, 1.04]","[65.73, 0.11]","[1151.59, 7.2]","[52.07, 0.4]",USA,metric,"I’ve got a 551-gram burrito with meat, beans, rice, and sour cream, paired with a 360-gram diet cola for lunch."
['Gelatin dessert'],[13.48],[0],[57],[1.16],USA,metric,"For my snack, I have a 95g serving of gelatin dessert."
"['Tortilla, flour']",[22.22],[3.6],[137.7],[3.69],USA,metric,I grabbed a 45-gram flour tortilla as a quick snack.
