doc_id,carb_pred,description,country,queries,carb,fat,energy,protein,carb_mae,carb_mae_norm,fat_pred,fat_mae,fat_mae_norm,energy_pred,energy_mae,energy_mae_norm,protein_pred,protein_mae,protein_mae_norm
6,96.0,"['Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread', 'Strawberry milk, whole']",USA,"For lunch, I'm having a peanut butter and jelly sandwich made with 112.0g of regular peanut butter and jelly on white bread, along with a glass of 248.0g of whole strawberry milk.",79.96,25.880000000000003,617.36,20.43,16.040000000000006,0.31305513411598357,66.06,40.18,2.986313280044875,956.0,338.64,0.9149282671732948,41.832,21.402,1.762455833957433
24,144.5,"['Macaroni or noodles with cheese, Easy Mac type', 'Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw']",USA,"For my snack, I'm eating 215 grams of Easy Mac and 70 grams of broiled chicken thigh.",43.22,9.67,361.1,24.24,101.28,1.9766972558146387,15.345,5.675000000000001,0.42178516337119626,468.8,107.69999999999999,0.29098090708293123,25.025,0.785,0.06464479159221496
43,42.0,"['Peanut butter sandwich, with regular peanut butter, on white bread', 'Milk, whole']",USA,"For lunch, I'm having a peanut butter sandwich (92.0g) made with regular peanut butter on white bread, along with a glass of whole milk (244.0g).",48.04,26.31,499.68,20.86,6.039999999999999,0.11788360411848751,53.93,27.62,2.052811667367831,689.8,190.11999999999995,0.513661003292543,15.296,5.564,0.458195694801381
54,203.232,"['Chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion', 'Soft drink, cola']",USA,"For breakfast, I'm having a large frozen meal with 468.0g of fried chicken, potatoes, and vegetables, along with a 372.0g soft drink cola.",122.97,47.36,1092.24,50.87,80.262,1.5664857340659017,70.2,22.840000000000003,1.6975459262375547,1092.24,0.0,0.0,58.5,7.630000000000003,0.628330904265733
59,-1.0,"['Nutritional drink or shake, high protein, light, ready-to-drink, NFS']",USA,I have a 341g high protein nutritional drink for lunch.,58.96,18.35,470.58,18.35,59.96,1.1702484938649855,5.683,12.667000000000002,0.9414542139952322,213.125,257.455,0.6955848601024704,-1.0,19.35,1.593473525234853
106,456.0,['Beer'],USA,"For a snack, I'm having 1200 grams of beer.",42.6,0.0,516.0,5.52,413.4,8.06839105009648,1.2,1.2,0.08918805216659655,516.0,0.0,0.0,2.4,3.119999999999999,0.25693216530918556
112,52.74,"['Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce', 'Rice, cooked, NFS']",USA,"I’ve got a dinner plate with 162 grams of beef and veggies, including carrots and broccoli, plus 158 grams of cooked rice.",49.08,11.34,391.74,22.7,3.660000000000003,0.07143277997908357,16.674,5.334,0.3964408918805217,660.4,268.65999999999997,0.7258582218839398,46.386,23.686000000000003,1.9505433549722344
117,75.0,"['Pasta, whole grain, with cream sauce, poultry, and added vegetables, restaurant']",USA,"I ordered 250 grams of whole grain pasta with cream sauce, poultry, and veggies for dinner.",38.08,31.1,475.0,14.98,36.92,0.720573288750755,27.8,3.3,0.24526714345814052,725.0,250.0,0.6754431455035546,13.0,1.98,0.1630531049077524
122,155.0,"['Pasta with cream sauce and seafood, home recipe', 'Pasta with cream sauce and poultry, home recipe']",USA,"Tonight’s dinner is 250 grams of pasta with cream sauce and seafood, plus 250 grams of pasta with cream sauce and poultry.",83.57,33.870000000000005,767.5,30.96,71.43,1.3941102387721134,42.5,8.629999999999995,0.6414107418314399,1050.0,282.5,0.7632507544190166,42.5,11.54,0.9503196114320518
128,157.8,"['Soft drink, cola', 'Pizza with meat other than pepperoni, from frozen, thin crust']",USA,Tonight’s dinner includes a 620-gram cola and a 320-gram meat pizza from the freezer on a thin crust.,150.57,40.27,1114.8,39.49,7.230000000000018,0.1411090161881899,32.0,8.270000000000003,0.6146543261814615,1097.14,17.659999999999854,0.0477133037983707,64.0,24.509999999999998,2.0183997986308135
